Iter	LnL	TL	Alpha
100	-5090.478511263185	3.1011574037431155	0.9868924013021303
200	-4859.2432005470955	3.057129070941667	1.0197119372203618
300	-4770.6591500244	3.3456275373762	1.0197119372203618
400	-4742.59974058943	3.531990935178397	1.0197119372203618
500	-4710.38051186367	3.6645451362247665	0.9449529284581322
600	-4690.30540445055	3.515394155104169	1.2408034693248795
700	-4649.192933920664	3.4631976642538396	1.0460019741758952
800	-4628.552378292839	3.5264143861698716	1.0460019741758952
900	-4615.927333225348	3.573342298425444	1.0460019741758952
1000	-4607.222789312299	3.5191946786021155	1.0317533355164195
1100	-4592.852731933897	3.5445828596182434	1.0317533355164195
1200	-4571.868374810105	3.5537179737577045	1.0317533355164195
1300	-4553.815148954518	3.656285879845025	1.0317533355164195
1400	-4549.886961551323	3.8580109646056115	1.0317533355164195
1500	-4547.795408478392	3.793203596415687	1.0317533355164195
1600	-4542.806139881173	4.036276939572013	1.2728962033740656
1700	-4541.180851202653	3.9516153183226175	1.22743165640985
1800	-4535.042902565534	3.9479781705964947	1.0003051796802989
1900	-4531.193649305766	3.9928830337523826	1.2051532044340496
2000	-4528.127882261727	3.8074378404113673	1.239307969570295
2100	-4531.616715093289	4.030048940778553	1.239307969570295
2200	-4535.6439007168865	4.0972849899909	1.2343836006350388
2300	-4537.301602042053	3.8837256920816308	0.9894086855057757
2400	-4538.900276983042	3.8221049089137655	0.9894086855057757
2500	-4539.8280851330255	3.8417121407484145	0.9894086855057757
2600	-4531.223786881708	3.782644516784995	0.9894086855057757
2700	-4539.6342465611115	3.7725083693386536	0.9894086855057757
2800	-4544.642864995216	3.7558265191518725	0.9659599213258352
2900	-4544.262701066125	3.6991461417359965	0.9659599213258352
3000	-4539.8519317569835	3.7167957065052186	1.16462055057506
3100	-4533.9681382755625	3.474880781442625	1.0692842276025067
3200	-4534.642278821718	3.435404023397746	1.049473189421454
3300	-4534.137821430141	3.5681383571196936	1.0079431503119132
3400	-4530.229166132987	3.7081041388044844	1.0079431503119132
3500	-4525.817347159343	3.589319989681364	1.0079431503119132
3600	-4524.579528847014	3.4344065894025784	1.0079431503119132
3700	-4533.529450477374	3.390509639726706	1.0079431503119132
3800	-4535.196987400591	3.7063121190232398	1.0267832303458355
3900	-4535.185584914813	3.3270889583184835	1.0267832303458355
4000	-4527.923611371917	3.3649694392935317	1.0336361874876407
4100	-4527.129079180992	3.1321250944499592	1.0648852352708023
4200	-4528.870659313636	3.2340254245581965	1.0776837613572183
4300	-4525.045114610608	3.3179526025074177	1.0367934971827097
4400	-4525.269941937533	3.192880148229004	1.169361739102254
4500	-4527.374354658326	3.4637961987387214	1.169361739102254
